source,target,weight,
Edward A. Infante,Glancy and Binkow LLP,3,
Edward A. Infante,The Rosen Law Firm,1,
Layn R. Phillips,Glancy and Binkow LLP,3,
Layn R. Phillips,Pomerantz Haudek Block Grossman and Gross LLP,3,
Layn R. Phillips,The Rosen Law Firm,1,
Layn R. Phillips,Robbins Geller Rudman and Dowd LLP,3,
Layn R. Phillips,Coughlin Stoia Geller Rudman and Robbins LLP,3,
Layn R. Phillips,Topaz Kessler Meltzer and Check LLP,3,
Layn R. Phillips,"Rosenthal, Monhait, Gross and Goddess, PA",6, 
Jed D. Melnick,Glancy and Binkow LLP,3,
Jed D. Melnick,Grant and Eisenhofer ,2,
Jed D. Melnick,Pomerantz Grossman Hufford Dalhstrom and Gross LLP,3,
Jed D. Melnick,Robbins Geller Rudman and Dowd LLP,3,
Jed D. Melnick,Labaton Sucharow,1,
Robert A. Meyer,Glancy and Binkow LLP,3,
MIchael D. Young,Kaplan Fox and Kilsheimer LLP,3,
MIchael D. Young,SCHNEIDER WALLACE COTTRELL  BRAYTON KONECKY LLP,3,
Daniel Weinstein,Grant and Eisenhofer,2,
Daniel Weinstein,The Rosen Law Firm,2,
Daniel Weinstein,Labaton Sucharow LLC,4,
Daniel Weinstein,Robbins Geller Rudman and Dowd LLP,3,
Daniel Weinstein,The Weiser Law Firm,4,
Daniel Weinstein,"Berman, DeValerio and Pease LLP",3,
William J Cahill,Robbins Geller Rudman and Dowd LLP,3,
William J Cahill,Lerach Coughlin Stoia Geller Rudman and Robbins LLP,3,
William J Cahill,Latham and Watkins LLP,3,
Leo Papas,The Rosen Law Firm,4,
David Geronemus,The Rosen Law Firm,5,
Stephen Lamb,Labaton Sucharow LLC,5,
Michael Young,Rosen Law Firm,5,
