source,source nid,target,target nid
Daniel Weinstein,1,"Berman, DeValerio and Pease LLP",12
Layn R. Phillips,2,Coughlin Stoia Geller Rudman and Robbins LLP,13
Edward A. Infante,3,Glancy and Binkow LLP,14
Jed D. Melnick,4,Glancy and Binkow LLP,14
Layn R. Phillips,2,Glancy and Binkow LLP,14
Robert A. Meyer,,Glancy and Binkow LLP,14
Daniel Weinstein,,"Grant and Eisenhofer, PA",15
Jed D. Melnick,,"Grant and Eisenhofer, PA",
MIchael D. Young,,Kaplan Fox and Kilsheimer LLP,
Jed D. Melnick,,Labaton Sucharow,
Daniel Weinstein,,Labaton Sucharow LLC,
Stephen Lamb,,Labaton Sucharow LLC,
William J Cahill,,Latham and Watkins LLP,
William J Cahill,,Lerach Coughlin Stoia Geller Rudman and Robbins LLP,
Jed D. Melnick,,Pomerantz Grossman Hufford Dalhstrom and Gross LLP,
Layn R. Phillips,,Pomerantz Haudek Block Grossman and Gross LLP,
Daniel Weinstein,,Robbins Geller Rudman and Dowd LLP ,
Jed D. Melnick,,Robbins Geller Rudman and Dowd LLP ,
Layn R. Phillips,,Robbins Geller Rudman and Dowd LLP ,
William J Cahill,,Robbins Geller Rudman and Dowd LLP ,
Layn R. Phillips,,"Rosenthal, Monhait, Gross and Goddess, PA",
MIchael D. Young,,SCHNEIDER WALLACE COTTRELL  BRAYTON KONECKY LLP ,
Daniel Weinstein,,The Rosen Law Firm,
David Geronemus,,The Rosen Law Firm,
Edward A. Infante,,The Rosen Law Firm,
Layn R. Phillips,,The Rosen Law Firm,
Leo Papas,,The Rosen Law Firm,
MIchael D. Young,,The Rosen Law Firm,
Daniel Weinstein,,The Weiser Law Firm,
Layn R. Phillips,,Topaz Kessler Meltzer and Check LLP,
