"Berman, DeValerio and Pease LLP",17,500
Coughlin Stoia Geller Rudman and Robbins LLP,83,80
Daniel Weinstein,904,15
Edward A. Infante,7,5
Glancy and Binkow LLP,11,50
Daniel Weinstein,80,85
Jed D. Melnick,150,300
Kaplan Fox and Kilsheimer LLP,38,7
Labaton Sucharow,12,12
Latham and Watkins LLP,17,500
Layn R. Phillips,83,80
Leo Papas,904,15
Lerach Coughlin Stoia Geller Rudman and Robbins LLP,7,5
MIchael D. Young,11,50
"Grant and Eisenhofer, PA",80,85
Michael Young,150,300
Pomerantz Grossman Hufford Dalhstrom and Gross LLP,38,7
Pomerantz Haudek Block Grossman and Gross LLP,12,12
Robbins Geller Rudman and Dowd LLP ,17,500
Robert A. Meyer,83,80
Rosen Law Firm,904,15
"Rosenthal, Monhait, Gross and Goddess, PA",7,5
SCHNEIDER WALLACE COTTRELL  BRAYTON KONECKY LLP ,11,50
Stephen Lamb,80,85
The Rosen Law Firm,150,300
The Weiser Law Firm,38,7
Topaz Kessler Meltzer and Check LLP,12,12
William J Cahill,12,12
