id,group,nid
Edward A. Infante,mediator,31411
Layn R. Phillips,mediator,31698
Jed D. Melnick,mediator,32001
Robert A. Meyer,mediator,
MIchael D. Young,mediator,
Daniel Weinstein,mediator,
William J Cahill,mediator,
Leo Papas,mediator,
David Geronemus,mediator,
Stephen Lamb,mediator,
"Berman, DeValerio and Pease LLP",lawfirm,
Coughlin Stoia Geller Rudman and Robbins LLP,lawfirm,
Glancy and Binkow LLP,lawfirm,
"Grant and Eisenhofer, PA",lawfirm,
Kaplan Fox and Kilsheimer LLP,lawfirm,
Labaton Sucharow,lawfirm,
Labaton Sucharow LLC,lawfirm,
Latham and Watkins LLP,lawfirm,
Lerach Coughlin Stoia Geller Rudman and Robbins LLP,lawfirm,
Pomerantz Grossman Hufford Dalhstrom and Gross LLP,lawfirm,
Pomerantz Haudek Block Grossman and Gross LLP,lawfirm,
Robbins Geller Rudman and Dowd LLP ,lawfirm,
"Rosenthal, Monhait, Gross and Goddess, PA",lawfirm,
SCHNEIDER WALLACE COTTRELL  BRAYTON KONECKY LLP ,lawfirm,
The Weiser Law Firm,lawfirm,
Topaz Kessler Meltzer and Check LLP,lawfirm,
The Rosen Law Firm,lawfirm,
